name, rating, votes, link, image, plot, genres, runtime, certificate, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"The Boroughs", "7.3", "29292", "https://www.imdb.com/title/tt27557289/", "https://m.media-amazon.com/images/M/MV5BZjc1Mjg0YjItN2M2Zi00ZDlhLWJhZDYtYjI2NmFmOGQ1ZmMxXkEyXkFqcGc@._V1_.jpg", "In a seemingly picturesque retirement community, a group of unlikely heroes must band together to stop an otherworldly threat from stealing the one thing they don&apos;t have - time.", "Adventure, Comedy, Drama", "0", "TV-MA", "desert, dune, supernatural drama, exploration, death of spouse", "US", "10", "DOWN 2", "", "", "Alfred Molina, Alfre Woodard, Denis O'Hare", "Alfred Molina, Alfre Woodard, Denis O'Hare, Clarke Peters", "", "", "", "", "Albuquerque, New Mexico, USA", "English", "Dolby Atmos", "2.39 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Every Year After", "6.3", "4307", "https://www.imdb.com/title/tt33055254/", "https://m.media-amazon.com/images/M/MV5BODJmYjdlMGEtZTVhZS00MDAyLTkxMDMtZWJmMDFhMmQ2ODgyXkEyXkFqcGc@._V1_.jpg", "Two lifelong friends explore the enduring question: what if your first love was destined to be your soulmate? A sweeping romantic tale about love&apos;s timeless possibilities.", "Drama, Romance", "0", "TV-MA", "", "US", "11", "DOWN 4", "", "", "Sadie Soverall, Matt Cornett, Michael Bradway", "Sadie Soverall, Matt Cornett, Michael Bradway, Abigail Cowen", "", "", "", "", "Bowen Island, British Columbia, Canada", "English", "Dolby Digital", "2.00 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Game of Thrones", "9.2", "2627595", "https://www.imdb.com/title/tt0944947/", "https://m.media-amazon.com/images/M/MV5BMTNhMDJmNmYtNDQ5OS00ODdlLWE0ZDAtZTgyYTIwNDY3OTU3XkEyXkFqcGc@._V1_.jpg", "Noble families vie for control of Westeros and its Iron Throne, while an ancient threat beyond the Wall begins to stir.", "Drama, Fantasy", "0", "TV-MA", "politics, nudity, dragon, incest, kingdom", "US", "12", "FLAT 0", "", "", "Emilia Clarke, Peter Dinklage, Kit Harington", "Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey", "", "", "", "", "Split, Split-Dalmatia County, Croatia", "English", "Dolby Digital", "1.78 : 1", "Color", "396", "656", "TV Series", "True", "False", "False"
"Chamgyoyuk", "8.6", "10280", "https://www.imdb.com/title/tt34809853/", "https://m.media-amazon.com/images/M/MV5BNzFjNmFjNzgtYmM0ZS00ODZmLWJiNTktOWNiYWZiMTE5MWRiXkEyXkFqcGc@._V1_.jpg", "The collapse of teachers&apos; Authority, the establishment of the Teachers&apos; Authority Protection Bureau under the Ministry of Education, and the dispatch of supervisors to problem schools to punish students and parents who cross the l...", "Action, Drama", "0", "TV-MA", "school, teacher, asia, republic of korea, k drama", "KR", "13", "DOWN 4", "", "", "Kim Mu-yeol, Lee Sung-min, Jin Ki-joo", "Kim Mu-yeol, Lee Sung-min, Jin Ki-joo, Pyo Ji-hoon", "", "", "", "", "", "Korean", "Dolby Digital", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"The Boys", "8.5", "1000054", "https://www.imdb.com/title/tt1190634/", "https://m.media-amazon.com/images/M/MV5BZjU4OWNiYzQtMzc1NS00NjZlLTgyYTctZWY4ZmEzMTkxYjA4XkEyXkFqcGc@._V1_.jpg", "A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.", "Action, Comedy, Crime", "0", "TV-MA", "violence, enhancement drug, corporate marketing, supernatural power, male full frontal nudity", "US", "14", "DOWN 4", "", "", "Karl Urban, Jack Quaid, Antony Starr", "Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty", "", "", "", "", "Hamilton, Ontario, Canada", "English", "Dolby Digital, Dolby Atmos", "2.39 : 1", "Color", "26", "97", "TV Series", "True", "False", "False"
"Sugar", "7.4", "44183", "https://www.imdb.com/title/tt16418808/", "https://m.media-amazon.com/images/M/MV5BNjYyZjQ5MWMtOTE5My00OGZhLTlkMTAtYjEyYWJiNTY5NGY4XkEyXkFqcGc@._V1_.jpg", "Private detective John Sugar investigates the disappearance of Olivia, the beloved granddaughter of Hollywood producer Jonathan Siegel. As Sugar tries to determine what happened to Olivia, he unearths Siegel family secrets, old an...", "Action, Crime, Drama", "0", "TV-MA", "private investigator, suspense mystery, los angeles california, polyglot, mysterious disappearance", "US", "15", "UP 211", "", "", "Colin Farrell, Kirby Howell-Baptiste, Amy Ryan", "Colin Farrell, Kirby Howell-Baptiste, Amy Ryan, Dennis Boutsikaris", "", "", "", "", "2320 Midlothian Dr, Altadena, California, USA", "English", "Dolby Digital", "", "Color", "1", "10", "TV Series", "True", "False", "False"
"Euphoria", "8.1", "315622", "https://www.imdb.com/title/tt8772296/", "https://m.media-amazon.com/images/M/MV5BYzg5MTVmNjgtMGQ3Zi00YThlLWFjMzgtYzc2NGUyMzE2MWQ1XkEyXkFqcGc@._V1_.jpg", "A dark coming-of-age drama exploring love, addiction, friendship and identity in a world full of temptation and uncertainty.", "Drama", "0", "TV-MA", "drug addict, drugs, high school, sex scene, male full frontal nudity", "US", "16", "DOWN 5", "", "", "Zendaya, Hunter Schafer, Maude Apatow", "Zendaya, Hunter Schafer, Maude Apatow, Alexa Demie", "", "", "", "", "Pomona, California, USA", "English", "Dolby Digital", "", "Color", "42", "106", "TV Series", "True", "False", "False"
"The Amazing Digital Circus", "8.2", "18804", "https://www.imdb.com/title/tt27610198/", "https://m.media-amazon.com/images/M/MV5BMTlkY2NjODgtOWI5ZC00MjIzLWFiYjItN2ZiOTU5YzA2ODlmXkEyXkFqcGc@._V1_.jpg", "A woman finds herself trapped in a virtual circus where she and five others are subject to the whims of a wacky artificial intelligence. In this digital purgatory they must face frightening N.P.C.s and cope with their own personal...", "Animation, Adventure, Comedy", "0", "TV-PG", "circus, virtual world, trapped in virtual reality, escape plan, youtube", "GB", "17", "UP 23", "", "", "Lizzie Freeman, Alex Rochon, Michael Kovach", "Lizzie Freeman, Alex Rochon, Michael Kovach, Amanda Hufford", "", "", "", "", "", "English, Korean, Filipino, Spanish, Japanese, German, Ukrainian, Chinese, Thai, Russian, Turkish, Indonesian", "", "16:9 HD", "Color", "1", "2", "TV Series", "True", "False", "False"
"Oasis", "5.3", "525", "https://www.imdb.com/title/tt38734636/", "https://m.media-amazon.com/images/M/MV5BMDZkODgzNTktMDNjMC00ZjkxLWFhNDItMjkyZjMxNDA0MDI4XkEyXkFqcGc@._V1_.jpg", "&apos;Oasis&apos; is the country&apos;s most luxurious vacation resort. A paradise for wealthy families with private beaches, VIP facilities, and impenetrable security. The place for the best summer ever. But everything crumbles when police stor...", "Crime, Drama, Mystery", "0", "", "male nudity, male rear nudity", "ES", "18", "UP 1216", "", "", "Verónica Sánchez, Berta Castañé, Unax Ugalde", "Verónica Sánchez, Berta Castañé, Unax Ugalde, Tomy Aguilera", "", "", "", "", "Tenerife, Canary Islands, Spain", "Spanish", "Dolby Digital", "2.00 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Raakh", "7.6", "4721", "https://www.imdb.com/title/tt35870921/", "https://m.media-amazon.com/images/M/MV5BZjhkMTFkM2ItNTgxOC00YjI5LTllYjUtYzc2YTBjYWM5YTdiXkEyXkFqcGc@._V1_.jpg", "Two teens disappear, devastating a tight-knit family and alarming the city. A determined officer launches a nationwide search, plunging into a dark realm of brutality and human evil.", "Crime, Drama, Mystery", "0", "TV-MA", "serial killer crime", "IN", "19", "UP 15", "", "", "Ali Fazal, Sonali Bendre, Aamir Bashir", "Ali Fazal, Sonali Bendre, Aamir Bashir, Ramandeep Yadav", "", "", "", "", "", "Hindi", "Dolby Digital", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Breaking Bad", "9.5", "2634064", "https://www.imdb.com/title/tt0903747/", "https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_.jpg", "A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family&apos;s future.", "Crime, Drama, Thriller", "0", "TV-MA", "cancer, chemistry, drug trade, methamphetamine, chemistry teacher", "US", "20", "DOWN 1", "", "", "Bryan Cranston, Aaron Paul, Anna Gunn", "Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris", "", "", "", "", "3828 Piermont Dr NE, Albuquerque, New Mexico, USA", "English, Spanish", "Dolby Digital", "", "Color", "172", "269", "TV Series", "True", "False", "False"
"Rick and Morty", "9", "699420", "https://www.imdb.com/title/tt2861424/", "https://m.media-amazon.com/images/M/MV5BZGQyZjk2MzMtMTcyNC00NGU3LTlmNjItNDExMWM4ZDFhYmQ2XkEyXkFqcGc@._V1_.jpg", "The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.", "Animation, Adventure, Comedy", "0", "TV-MA", "scientist, adult animation, grandfather grandson relationship, monster, multiverse", "US", "21", "UP 3", "", "", "Chris Parnell, Spencer Grammer, Sarah Chalke", "Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland", "", "", "", "", "New York City, New York, USA", "English", "Dolby Digital", "16:9 HD", "Color", "18", "41", "TV Series", "True", "False", "False"
"The Polygamist", "5.9", "728", "https://www.imdb.com/title/tt42543947/", "https://m.media-amazon.com/images/M/MV5BMjVjYjJmZDktMzY4MS00MjdiLThkNjQtNzAwNDFjOGU0YTg1XkEyXkFqcGc@._V1_.jpg", "Follow Jonasi Gomora, a self-made CEO and banker, whose carefully curated empire begins to unravel as his wife, secret second wife, mistress, and girlfriend fight for his life and wealth", "Drama", "0", "", "", "ZA", "22", "UP 27", "", "", "Gugu Gumede, Kwanele Mthethwa, S'Thandiwe Kgoroge", "Gugu Gumede, Kwanele Mthethwa, S'Thandiwe Kgoroge, Vuyo Biyela", "", "", "", "", "", "", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"The Pitt", "8.9", "156025", "https://www.imdb.com/title/tt31938062/", "https://m.media-amazon.com/images/M/MV5BMThjMjYxM2YtM2IzZC00NDdmLThiNDYtNzEyNzA0YTRmYTk3XkEyXkFqcGc@._V1_.jpg", "The daily lives of healthcare professionals in a Pittsburgh hospital as they juggle personal crises, workplace politics, and the emotional toll of treating critically ill patients, revealing the resilience required in their noble ...", "Drama", "0", "TV-MA", "emergency room, doctor, medical drama, hospital, autism", "US", "23", "DOWN 6", "", "", "Noah Wyle, Patrick Ball, Katherine LaNasa", "Noah Wyle, Patrick Ball, Katherine LaNasa, Fiona Dourif", "", "", "", "", "Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA", "English", "Dolby Digital", "1.78 : 1", "Color", "45", "51", "TV Series", "True", "False", "False"
"The Four Seasons", "7.2", "42935", "https://www.imdb.com/title/tt30826447/", "https://m.media-amazon.com/images/M/MV5BY2ZlNDBmOTctM2RhMS00NmU4LTg4NWQtZTA2ODdmMDNlZDg2XkEyXkFqcGc@._V1_.jpg", "Three suburban couples vacation together each season, but tensions arise when one couple splits up and the husband brings a much younger woman on subsequent trips.", "Comedy, Romance", "0", "TV-MA", "based on film, remake, gay couple, male rear nudity, male nudity", "US", "24", "DOWN 9", "", "", "Tina Fey, Will Forte, Kerri Kenney", "Tina Fey, Will Forte, Kerri Kenney, Marco Calvani", "", "", "", "", "Luquillo, Puerto Rico", "English", "Dolby Digital", "1.85 : 1", "Color", "2", "11", "TV Series", "True", "False", "False"
"The Rookie", "8", "129768", "https://www.imdb.com/title/tt7587890/", "https://m.media-amazon.com/images/M/MV5BMzc2MDdkZDUtZjZlYy00MGMyLWJkNzUtMTMxY2FkZjZjYmEyXkEyXkFqcGc@._V1_.jpg", "Starting over isn&apos;t easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he&apos;s met with skepticism from those who see him as just a walking midlife ...", "Action, Crime, Drama", "0", "TV-14", "lapd, police officer, rookie cop, male protagonist, male female cop partnership", "US", "25", "UP 4", "", "", "Nathan Fillion, Alyssa Diaz, Richard T. Jones", "Nathan Fillion, Alyssa Diaz, Richard T. Jones, Melissa O'Neil", "", "", "", "", "Los Angeles Department of Water and Power -111 N Hope St Los Angeles, California, USA", "English", "Stereo", "16:9 HD", "Color", "3", "8", "TV Series", "True", "False", "False"
"Your Friends &amp; Neighbors", "7.7", "60663", "https://www.imdb.com/title/tt30459041/", "https://m.media-amazon.com/images/M/MV5BMjM0ZWFhMzEtOWVlYS00Y2VkLTk1MzEtZWQwM2E1YjFkNjlmXkEyXkFqcGc@._V1_.jpg", "A hedge fund manager resorts to burglary after losing his job, targeting wealthy neighbors to maintain his family&apos;s lifestyle.", "Crime, Drama", "0", "TV-MA", "cheating wife, sex with husband's best friend, ex husband ex wife sex, theft, cheating girlfriend", "US", "26", "DOWN 12", "", "", "Jon Hamm, Amanda Peet, Olivia Munn", "Jon Hamm, Amanda Peet, Olivia Munn, Hoon Lee", "", "", "", "", "Hudson Valley, New York, USA", "English", "Stereo", "2.39 : 1", "Color", "2", "9", "TV Series", "True", "False", "False"
"Maximum Pleasure Guaranteed", "7.2", "2535", "https://www.imdb.com/title/tt35946742/", "https://m.media-amazon.com/images/M/MV5BZDA5NjZkM2MtYTFlMC00MGRhLWIwMGMtNTgyYzllYzUyNDY1XkEyXkFqcGc@._V1_.jpg", "A divorced mom gets caught up in a perilous web of blackmail, murder, and youth soccer.", "Comedy, Drama, Mystery", "0", "TV-MA", "male wears underwear, male rear nudity, male nudity, murder mystery, whodunnit mystery", "US", "27", "UP 16", "", "", "Tatiana Maslany, Jake Johnson, Jessy Hodges", "Tatiana Maslany, Jake Johnson, Jessy Hodges, Jon Michael Hill", "", "", "", "", "New York City, New York, USA", "English", "Dolby Atmos", "1.85 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Supernatural", "8.4", "541666", "https://www.imdb.com/title/tt0460681/", "https://m.media-amazon.com/images/M/MV5BMDFmMGZmMGItNGRjNC00NjVjLWI5ODEtNzhjMTE5MmJhN2FkXkEyXkFqcGc@._V1_.jpg", "Two brothers follow their father&apos;s footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.", "Drama, Fantasy, Horror", "0", "TV-14", "brotherly love, ghost, monster, demon hunter, vampire", "US", "28", "FLAT 0", "", "", "Jared Padalecki, Jensen Ackles, Jim Beaver", "Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins", "", "", "", "", "Buntzen Lake, Anmore, British Columbia, Canada", "English", "Dolby Digital", "1.78 : 1", "Color", "37", "126", "TV Series", "True", "False", "False"
"Yellowstone", "8.6", "314382", "https://www.imdb.com/title/tt4236770/", "https://m.media-amazon.com/images/M/MV5BZTYxYTdjZjEtNTc0My00NDU2LTkwZmQtNjhhNmJiMzQ3Zjc1XkEyXkFqcGc@._V1_.jpg", "A ranching family in Montana faces off against others encroaching on their land.", "Drama, Western", "0", "TV-MA", "ranch, native american, contemporary western, ranch owner, father son relationship", "US", "29", "DOWN 4", "", "", "Kevin Costner, Luke Grimes, Kelly Reilly", "Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley", "", "", "", "", "Chief Joseph Ranch, 125 Appaloosa Trail, Darby, Montana, USA", "English", "Stereo", "2.00 : 1", "Color", "11", "52", "TV Series", "True", "False", "False"
"Criminal Minds", "8.1", "240282", "https://www.imdb.com/title/tt0452046/", "https://m.media-amazon.com/images/M/MV5BZmEyNTAyZDEtMTlhNS00ZTJjLWI1OWEtNWMzNzFhMWNjMDY2XkEyXkFqcGc@._V1_.jpg", "The FBI&apos;s Behavioral Analysis Unit in Quantico helps police solve violent serial crimes using profiling. Team members analyze evidence and psychology to catch unknown subjects, but their demanding work affects personal lives.", "Crime, Drama, Mystery", "0", "TV-14", "murder, serial killer, serial murder, solving crime, violence", "US", "30", "FLAT 0", "", "", "Kirsten Vangsness, A.J. Cook, Matthew Gray Gubler", "Kirsten Vangsness, A.J. Cook, Matthew Gray Gubler, Joe Mantegna", "", "", "", "", "Vancouver, British Columbia, Canada", "English", "Dolby Digital", "", "Color", "24", "35", "TV Series", "True", "False", "False"
"Not Suitable for Work", "6.8", "2403", "https://www.imdb.com/title/tt35823838/", "https://m.media-amazon.com/images/M/MV5BMWFiMTA4M2EtZDkyNC00MDg4LTg5OWUtNDkxMGM2M2ZmMDQ1XkEyXkFqcGc@._V1_.jpg", "Explores the next stage in young people&apos;s lives after college. Five work-obsessed twenty-somethings professionals living in Manhattan&apos;s Murray Hill neighborhood focused on achieving career success and find time for personal happin...", "Comedy, Drama", "0", "TV-MA", "romantic comedy, feel good romance", "US", "31", "DOWN 10", "", "", "Ella Hunt, Avantika, Will Angus", "Ella Hunt, Avantika, Will Angus, Jack Martin", "", "", "", "", "New York City, New York, USA", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Ted Lasso", "8.7", "447375", "https://www.imdb.com/title/tt10986410/", "https://m.media-amazon.com/images/M/MV5BZmI3YWVhM2UtNDZjMC00YTIzLWI2NGUtZWIxODZkZjVmYTg1XkEyXkFqcGc@._V1_.jpg", "American college football coach Ted Lasso is hired to manage AFC Richmond, a struggling English soccer club, and must win over skeptical players, staff, and fans.", "Comedy, Drama, Sport", "0", "TV-MA", "soccer, strong female character, american abroad, american in england, ex husband ex wife relationship", "US", "32", "DOWN 1", "", "", "Hannah Waddingham, Brendan Hunt, Jason Sudeikis", "Hannah Waddingham, Brendan Hunt, Jason Sudeikis, Jeremy Swift", "", "", "", "", "Crystal Palace Football Club, Selhurst Park Stadium, Holmesdale Road, Selhurst, London, Greater London, England, UK", "English", "Stereo", "16:9 HD", "Color", "73", "213", "TV Series", "True", "False", "False"
"Legends", "7.9", "20781", "https://www.imdb.com/title/tt33265765/", "https://m.media-amazon.com/images/M/MV5BYTI2NzI3OTgtNjJmNS00Yjk3LTliMTMtZDA1MWM4MDA0N2QzXkEyXkFqcGc@._V1_.jpg", "Customs agents go undercover to infiltrate Britain&apos;s most dangerous drug gangs, following a thrilling criminal investigation based on extensive research and interviews with those involved in the top-secret operation.", "Crime, Drama", "0", "TV-MA", "gangster, drug, gangster crime, customs official, undercover", "GB", "33", "DOWN 15", "", "", "Tom Burke, Steve Coogan, Hayley Squires", "Tom Burke, Steve Coogan, Hayley Squires, Aml Ameen", "", "", "", "", "Morocco", "English", "Dolby Surround 7.1", "2.35 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Shingeki no kyojin", "9.1", "725722", "https://www.imdb.com/title/tt2560140/", "https://m.media-amazon.com/images/M/MV5BZjliODY5MzQtMmViZC00MTZmLWFhMWMtMjMwM2I3OGY1MTRiXkEyXkFqcGc@._V1_.jpg", "In a world where humanity shelters behind towering walls from man-eating Titans, a determined teen joins the elite Survey Corps to fight the giants and uncover the secrets of their origin.", "Animation, Action, Adventure", "0", "TV-MA", "anime, giant, man eating monster, based on manga, titan", "JP", "34", "UP 5", "", "", "Jessie James Grelle, Bryce Papenbrook, Trina Nishimura", "Jessie James Grelle, Bryce Papenbrook, Trina Nishimura, Yûki Kaji", "", "", "", "", "", "Japanese, English", "Stereo", "1.78 : 1, 16:9 HD", "Color", "42", "88", "TV Series", "True", "False", "False"
"The Bear", "8.5", "311623", "https://www.imdb.com/title/tt14452776/", "https://m.media-amazon.com/images/M/MV5BMjk2NWI5OTctODcwYy00NGRmLWFmN2YtOTZiNzFiYjVlODBkXkEyXkFqcGc@._V1_.jpg", "A young chef from the fine dining world returns to Chicago to run his family&apos;s sandwich shop.", "Comedy, Drama", "0", "TV-MA", "chef, chicago illinois, family business, restaurant kitchen, cousin cousin relationship", "US", "35", "UP 10", "", "", "Jeremy Allen White, Ebon Moss-Bachrach, Ayo Edebiri", "Jeremy Allen White, Ebon Moss-Bachrach, Ayo Edebiri, Lionel Boyce", "", "", "", "", "666 North Orleans Street, Chicago, Illinois, USA", "English, Spanish", "Dolby Surround 7.1", "1.78 : 1", "Color", "116", "210", "TV Series", "True", "False", "False"
